old_hts10,new_hts10,revision_from,revision_to,change_type,description_old,description_new,similarity
NA,4420190000,basic,rev_1,added,NA,other,NA
NA,9401696031,basic,rev_1,added,NA,other,NA
0901110045,0901110035,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901120015,0901110035,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901210035,0901110035,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901110055,0901110040,rev_15,rev_16,many_to_many,other,other,1
0901120025,0901110040,rev_15,rev_16,many_to_many,other,other,1
0901210045,0901110040,rev_15,rev_16,many_to_many,other,other,1
0901220045,0901110040,rev_15,rev_16,many_to_many,other,other,1
0901220060,0901110040,rev_15,rev_16,many_to_many,other,other,1
0901110045,0901110050,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901120015,0901110050,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901210035,0901110050,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901110055,0901110065,rev_15,rev_16,many_to_many,other,other,1
0901120025,0901110065,rev_15,rev_16,many_to_many,other,other,1
0901210045,0901110065,rev_15,rev_16,many_to_many,other,other,1
0901220045,0901110065,rev_15,rev_16,many_to_many,other,other,1
0901220060,0901110065,rev_15,rev_16,many_to_many,other,other,1
0901110045,0901120020,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901120015,0901120020,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901210035,0901120020,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901110055,0901120035,rev_15,rev_16,many_to_many,other,other,1
0901120025,0901120035,rev_15,rev_16,many_to_many,other,other,1
0901210045,0901120035,rev_15,rev_16,many_to_many,other,other,1
0901220045,0901120035,rev_15,rev_16,many_to_many,other,other,1
0901220060,0901120035,rev_15,rev_16,many_to_many,other,other,1
0901110045,0901120040,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901120015,0901120040,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901210035,0901120040,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901110055,0901120055,rev_15,rev_16,many_to_many,other,other,1
0901120025,0901120055,rev_15,rev_16,many_to_many,other,other,1
0901210045,0901120055,rev_15,rev_16,many_to_many,other,other,1
0901220045,0901120055,rev_15,rev_16,many_to_many,other,other,1
0901220060,0901120055,rev_15,rev_16,many_to_many,other,other,1
0901110045,0901120060,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901120015,0901120060,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901210035,0901120060,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901110055,0901120075,rev_15,rev_16,many_to_many,other,other,1
0901120025,0901120075,rev_15,rev_16,many_to_many,other,other,1
0901210045,0901120075,rev_15,rev_16,many_to_many,other,other,1
0901220045,0901120075,rev_15,rev_16,many_to_many,other,other,1
0901220060,0901120075,rev_15,rev_16,many_to_many,other,other,1
0901110045,0901210015,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901120015,0901210015,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901210035,0901210015,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901110055,0901210020,rev_15,rev_16,many_to_many,other,other,1
0901120025,0901210020,rev_15,rev_16,many_to_many,other,other,1
0901210045,0901210020,rev_15,rev_16,many_to_many,other,other,1
0901220045,0901210020,rev_15,rev_16,many_to_many,other,other,1
0901220060,0901210020,rev_15,rev_16,many_to_many,other,other,1
0901110045,0901210025,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901120015,0901210025,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901210035,0901210025,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901110055,0901210029,rev_15,rev_16,many_to_many,other,other,1
0901120025,0901210029,rev_15,rev_16,many_to_many,other,other,1
0901210045,0901210029,rev_15,rev_16,many_to_many,other,other,1
0901220045,0901210029,rev_15,rev_16,many_to_many,other,other,1
0901220060,0901210029,rev_15,rev_16,many_to_many,other,other,1
0901110045,0901210040,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901120015,0901210040,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901210035,0901210040,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901110055,0901210049,rev_15,rev_16,many_to_many,other,other,1
0901120025,0901210049,rev_15,rev_16,many_to_many,other,other,1
0901210045,0901210049,rev_15,rev_16,many_to_many,other,other,1
0901220045,0901210049,rev_15,rev_16,many_to_many,other,other,1
0901220060,0901210049,rev_15,rev_16,many_to_many,other,other,1
0901110055,0901220055,rev_15,rev_16,many_to_many,other,other,1
0901120025,0901220055,rev_15,rev_16,many_to_many,other,other,1
0901210045,0901220055,rev_15,rev_16,many_to_many,other,other,1
0901220045,0901220055,rev_15,rev_16,many_to_many,other,other,1
0901220060,0901220055,rev_15,rev_16,many_to_many,other,other,1
0901110045,0901220065,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901120015,0901220065,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901210035,0901220065,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901110055,0901220070,rev_15,rev_16,many_to_many,other,other,1
0901120025,0901220070,rev_15,rev_16,many_to_many,other,other,1
0901210045,0901220070,rev_15,rev_16,many_to_many,other,other,1
0901220045,0901220070,rev_15,rev_16,many_to_many,other,other,1
0901220060,0901220070,rev_15,rev_16,many_to_many,other,other,1
0901110045,0901220075,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901120015,0901220075,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901210035,0901220075,rev_15,rev_16,many_to_many,certified organic,certified organic,1
0901110055,0901220080,rev_15,rev_16,many_to_many,other,other,1
0901120025,0901220080,rev_15,rev_16,many_to_many,other,other,1
0901210045,0901220080,rev_15,rev_16,many_to_many,other,other,1
0901220045,0901220080,rev_15,rev_16,many_to_many,other,other,1
0901220060,0901220080,rev_15,rev_16,many_to_many,other,other,1
0901110055,0901220090,rev_15,rev_16,many_to_many,other,other,1
0901120025,0901220090,rev_15,rev_16,many_to_many,other,other,1
0901210045,0901220090,rev_15,rev_16,many_to_many,other,other,1
0901220045,0901220090,rev_15,rev_16,many_to_many,other,other,1
0901220060,0901220090,rev_15,rev_16,many_to_many,other,other,1
2827399000,2827399050,rev_15,rev_16,rename,other,other,1
2836995000,2836995050,rev_15,rev_16,rename,other,other,1
2842909000,2842909050,rev_15,rev_16,rename,other,other,1
2930904395,2930904390,rev_15,rev_16,rename,other,other,1
7113195090,7113195095,rev_15,rev_16,rename,other,other,1
7308200020,7308200030,rev_15,rev_16,split,"tubular, whether or not tapered, and sectional components thereof","tubular, whether or not tapered, and sectional components thereof",1
7308200020,7308200035,rev_15,rev_16,split,"tubular, whether or not tapered, and sectional components thereof","tubular wind turbine towers, whether or not tapered, and sectional components thereof",0.75
7310210050,7310210075,rev_15,rev_16,rename,other,other,1
8309900090,8309900025,rev_15,rev_16,split,other,other,1
8309900090,8309900085,rev_15,rev_16,split,other,other,1
8418100075,8418100085,rev_15,rev_16,rename,other,other,1
8483405050,8483405080,rev_15,rev_16,many_to_many,other,other,1
8483905090,8483405080,rev_15,rev_16,many_to_many,other,other,1
8483405050,8483905080,rev_15,rev_16,many_to_many,other,other,1
8483905090,8483905080,rev_15,rev_16,many_to_many,other,other,1
8501640121,8501640110,rev_15,rev_16,rename,for wind-powered generating sets classified within 8502.31.00,for wind-powered generating sets classified within 8502.31.00,1
8501640130,8501640135,rev_15,rev_16,rename,"exceeding 10,000 kva but not exceeding 40,000 kva","exceeding 10,000 kva but not exceeding 40,000 kva",1
8501640150,8501640155,rev_15,rev_16,rename,other,other,1
8542390060,8542390090,rev_15,rev_16,rename,other,other,1
9401999081,9401999070,rev_15,rev_16,rename,other,other,1
2825600000,NA,rev_15,rev_16,dropped,germanium oxides and zirconium dioxide,NA,NA
7013371010,NA,rev_15,rev_16,dropped,crystalline or non-lead crystal,NA,NA
7013371090,NA,rev_15,rev_16,dropped,other,NA,NA
7013994010,NA,rev_15,rev_16,dropped,crystalline or non-lead crystal,NA,NA
7013994090,NA,rev_15,rev_16,dropped,other,NA,NA
7601106030,NA,rev_15,rev_16,dropped,of greater than 99.8 percent aluminum,NA,NA
7612901030,NA,rev_15,rev_16,dropped,cans of a capacity not exceeding 355 ml,NA,NA
8309900010,NA,rev_15,rev_16,dropped,of aluminum,NA,NA
8412909081,NA,rev_15,rev_16,dropped,wind turbine blades and hubs,NA,NA
8607301000,NA,rev_15,rev_16,dropped,for vehicles of heading 8605 or 8606,NA,NA
NA,0901220040,rev_15,rev_16,added,NA,arabica,NA
NA,0901220050,rev_15,rev_16,added,NA,robusta,NA
NA,2825600010,rev_15,rev_16,added,NA,germanium dioxide,NA
NA,2825600020,rev_15,rev_16,added,NA,zirconium dioxide,NA
NA,2825600050,rev_15,rev_16,added,NA,other,NA
NA,2827399010,rev_15,rev_16,added,NA,of lithium,NA
NA,2836995010,rev_15,rev_16,added,NA,zirconium carbonates,NA
NA,2842909010,rev_15,rev_16,added,NA,selenides and tellurides,NA
NA,2930904330,rev_15,rev_16,added,NA,terbufos (iso),NA
NA,7013371001,rev_15,rev_16,added,NA,valued not over $0.30 each,NA
NA,7013994001,rev_15,rev_16,added,NA,valued not over $0.30 each,NA
NA,7113195091,rev_15,rev_16,added,NA,"articles of jewelry, of gold, other than rope, curb, cable, chain, necklaces, neck chains or clasps",NA
NA,7310210070,rev_15,rev_16,added,NA,"containers of a circular cross section, of a capacity not exceeding 11.4 liters, of a kind used for aerosols",NA
NA,7601106040,rev_15,rev_16,added,NA,of 99.9 percent aluminum or greater,NA
NA,7601106045,rev_15,rev_16,added,NA,of greater than 99.8 percent but less than 99.9 percent,NA
NA,7612901040,rev_15,rev_16,added,NA,"with a circular cross section, of a kind used for aerosols",NA
NA,7612901045,rev_15,rev_16,added,NA,other,NA
NA,8309900020,rev_15,rev_16,added,NA,for cans of a kind used for the conveyance of beverages as described in statistical note 1 to this chapter,NA
NA,8309900080,rev_15,rev_16,added,NA,of steel,NA
NA,8412909070,rev_15,rev_16,added,NA,"wind turbine blades, imported in accordance with statistical note 2 of this chapter",NA
NA,8412909075,rev_15,rev_16,added,NA,wind turbine hubs,NA
NA,8418100080,rev_15,rev_16,added,NA,refrigerators with a top freezer compartment,NA
NA,8483405020,rev_15,rev_16,added,NA,"gear boxes and speed changers for wind turbines, as described in statistical note 6 to this chapter",NA
NA,8483905020,rev_15,rev_16,added,NA,parts of gear boxes and speed changers for wind turbines,NA
NA,8542390070,rev_15,rev_16,added,NA,"with adjustable performance characteristics, not elsewhere specified or included",NA
NA,8607301010,rev_15,rev_16,added,NA,assembled freight rail couplers,NA
NA,8607301050,rev_15,rev_16,added,NA,freight rail coupler parts,NA
NA,8607301090,rev_15,rev_16,added,NA,other,NA
NA,9401993030,rev_15,rev_16,added,NA,"mechanically collapsible sofa bed seat deck components, covered or uncovered as  described in statistical note 2 to this  chapter",NA
NA,9401999030,rev_15,rev_16,added,NA,"mechanically collapsible sofa bed seat deck components, covered or uncovered as described in statistical note 2 to this chapter",NA
9401993030,NA,rev_16,rev_17,dropped,"mechanically collapsible sofa bed seat deck components, covered or uncovered as  described in statistical note 2 to this  chapter",NA,NA
0201305085,0201305097,2026_rev_1,2026_rev_2,rename,other,other,1
0202305085,0202305097,2026_rev_1,2026_rev_2,many_to_many,other,other,1
0202308000,0202305097,2026_rev_1,2026_rev_2,many_to_many,other,other,1
0202305085,0202308025,2026_rev_1,2026_rev_2,many_to_many,other,other,1
0202308000,0202308025,2026_rev_1,2026_rev_2,many_to_many,other,other,1
0811100070,0811100085,2026_rev_1,2026_rev_2,split,other,other,1
0811100070,0811902027,2026_rev_1,2026_rev_2,split,other,other,1
0811100070,0811905090,2026_rev_1,2026_rev_2,split,other,other,1
0811100070,0811905290,2026_rev_1,2026_rev_2,split,other,other,1
1513190000,1513190090,2026_rev_1,2026_rev_2,rename,other,other,1
2008999190,2008991090,2026_rev_1,2026_rev_2,split,other,other,1
2008999190,2008999155,2026_rev_1,2026_rev_2,split,other,other,1
2008999190,2008999195,2026_rev_1,2026_rev_2,split,other,other,1
2009790020,2009790060,2026_rev_1,2026_rev_2,many_to_many,other,other,1
2009897091,2009790060,2026_rev_1,2026_rev_2,many_to_many,other,other,1
2009790020,2009897097,2026_rev_1,2026_rev_2,many_to_many,other,other,1
2009897091,2009897097,2026_rev_1,2026_rev_2,many_to_many,other,other,1
2009790020,2009897099,2026_rev_1,2026_rev_2,many_to_many,other,other,1
2009897091,2009897099,2026_rev_1,2026_rev_2,many_to_many,other,other,1
2202999120,2202999135,2026_rev_1,2026_rev_2,split,other,other,1
2202999120,2202999190,2026_rev_1,2026_rev_2,split,other,other,1
2404121000,2404120590,2026_rev_1,2026_rev_2,many_to_many,other,other,1
2404191000,2404120590,2026_rev_1,2026_rev_2,many_to_many,other,other,1
2404121000,2404121090,2026_rev_1,2026_rev_2,many_to_many,other,other,1
2404191000,2404121090,2026_rev_1,2026_rev_2,many_to_many,other,other,1
2404121000,2404190590,2026_rev_1,2026_rev_2,many_to_many,other,other,1
2404191000,2404190590,2026_rev_1,2026_rev_2,many_to_many,other,other,1
2404121000,2404191090,2026_rev_1,2026_rev_2,many_to_many,other,other,1
2404191000,2404191090,2026_rev_1,2026_rev_2,many_to_many,other,other,1
2918165050,2918165090,2026_rev_1,2026_rev_2,rename,other,other,1
3001900190,3001900195,2026_rev_1,2026_rev_2,rename,other,other,1
3004200075,3004105049,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004390050,3004105049,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909214,3004105049,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909221,3004105049,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909259,3004105049,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909289,3004105049,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909291,3004105049,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004200075,3004200083,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004390050,3004200083,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909214,3004200083,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909221,3004200083,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909259,3004200083,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909289,3004200083,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909291,3004200083,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004200075,3004320060,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004390050,3004320060,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909214,3004320060,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909221,3004320060,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909259,3004320060,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909289,3004320060,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909291,3004320060,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004200075,3004390055,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004390050,3004390055,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909214,3004390055,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909221,3004390055,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909259,3004390055,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909289,3004390055,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909291,3004390055,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004200075,3004909210,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004390050,3004909210,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909214,3004909210,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909221,3004909210,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909259,3004909210,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909289,3004909210,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909291,3004909210,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004200075,3004909230,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004390050,3004909230,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909214,3004909230,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909221,3004909230,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909259,3004909230,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909289,3004909230,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004909291,3004909230,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004200075,3004909243,2026_rev_1,2026_rev_2,many_to_many,other,other,1
3004390050,3004909243,2026_rev_1,2026_rev_2,many_to_many,other,other,1
